name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_active_email_template\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_active_email_template"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_active_email_template_82311aac680661e9e67a78a4801f79e5
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`app_meta.refresh_schema_columns\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""refresh_schema_columns"",""type"":""function"",""schema"":""app_meta""}",function_search_path_mutable_app_meta_refresh_schema_columns_c70818b823f5fe07b2a02daf621c42bc
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.log_email_event\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""log_email_event"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_log_email_event_761205a8a26743150616baa0bd6c032f
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.update_updated_at_column\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""update_updated_at_column"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_update_updated_at_column_9575be50118167efb89a330172bac708
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.stage_order_of\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""stage_order_of"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_stage_order_of_ffa38a2355b26285e876e94d2aa73cde
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public._log_job_candidate_stage_transition\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""_log_job_candidate_stage_transition"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public__log_job_candidate_stage_transition_30dde128d8d15c6fdbf05fe91ec8d744
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.check_seat_availability\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""check_seat_availability"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_check_seat_availability_ce3b3b0df940c0ae66fe8a57bf6b76a1
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_seat_usage\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_seat_usage"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_seat_usage_2005fa5e6d7da38b0d16acce6c67d587
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.assign_recruiter_seat\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""assign_recruiter_seat"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_assign_recruiter_seat_7306fd9c27b67ca39d6c4be4351dfb51
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.refresh_dashboard_snapshot\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""refresh_dashboard_snapshot"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_refresh_dashboard_snapshot_c3dccb76bd5143ce02118536929c5673
